--- Monday ---
"5:00 PM","","","","","","fast","medium","slow","Swim","","","","","","","","","",""
"6:00 PM","Masters Swim 6:00pm-7:10pm","","","","","fast","medium","slow","Masters","","","","","USF Masters (6-7:10pm)","","","","",""
"","Jogging","","","","","","","","","","","","","","","","","",""
"","Shallow Lane is Reserved from 4 to 6pm for Swim Lessons","","","","","","","","","","","","","","","","","",""

--- Friday ---
"Friday","","","","","","","","","","","","","","","","","",""
"Closed Juneteenth","","","","","","","","","","","","","","","","","",""

--- Weekend ---
"
 ","Saturday Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","","","","","","","","","",""
"6:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"7:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"8:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"9:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"10:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"11:00 AM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"12:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"1:00 PM","fast","fast","medium","medium","medium","slow","slow","slow","","","","","","","","","",""
"2:00 PM","Youth Swimming 2-4pm","","","medium","medium","slow","slow","slow","","","","","","","","","",""
"3:00 PM","","","","medium","medium","slow","slow","slow","","","","","","","","","",""
"","Jogging","","","","","","","","","","","","","","","","",""
"","slow","","","","","","","","","","","","","","","","",""
"","","","","Sunday","","","","","","","","","","","","","",""
"","Shallow & Mini Lane","Lane 1","Lane 2","Lane 3","Lane 4","Lane 5","Lane 6","Lane 7","Lane 8","Bulk Head","Lane 9","Lane 10","Lane 11","Lane 12","Lane 13","Lane 14","Lane 15","DEEP"
